id;graphics_name;long_graphics_name;role;person_id
1;pixel B2B;Lats deposit;SIDELINE_REPORTER;1
2;Granito Librería Puerta;Pound invoice red;COMENTATOR;2
3;neutral secundaria Acero;Sabroso;PRODUCER;3
4;Aplicaciones;parsing aggregate Ladrillo;COMENTATOR;4
5;Extramuros;Interno Mercados;NARRATOR;5
6;Card;Director Boliviano navigating;PRODUCER;6
7;Electrónica mindshare;Decoración;CAMERAMAN;7
8;Account deposit transmitting;Cambridgeshire synthesizing Gorro;COMENTATOR;8
9;Gris Galicia;Calidad discreta input;PRODUCER;9
10;programming;alianza Compatible;ANALYST;10
