id;name;graphics_name;type;colour;regulations;details;misc_data
1;tangible Blanco open-source;protocolo Silla;CUP;;calculate Granito Puerta;infraestructura;Pantalones Ergonómico Barrio
2;Seguridada;models Iran;LEAGUE2;"12b1D6";Ejecutivo Increible Sterling;index;Configuración Decoración
3;SQL;benchmark Interno Pescado;LEAGUE2;"fdDcCA";Aplicaciones Money;input;Patatas Cantabria Violeta
4;Ferrocarril Hogar reinvent;Mónaco Calleja;CUP;"5ef50C";Ergonómico hacking Práctico;Account;payment analizada
5;4th Asistente;transmitting de card;LEAGUE;"9ffcC6";invoice Inversor;JSON;mission-critical Paradigma
6;Money back-end Afghani;Violeta one-to-one Ejecutivo;LEAGUE2;"2dAB40";Raton embrace sexy;Argentine compressing synthesizing;Plástico
7;migración card intangible;bus Silla withdrawal;LEAGUE;;Atún HTTP solid;Lugar experiences;HDD invoice Account
8;quantify Mascotas;virtual;LEAGUE2;"CEb345";AI online;transition Bajada copying;Expandido
9;Analista;Central mobile Buckinghamshire;LEAGUE2;;Versatil;Colonia;card
10;direccional Joyería;Ouguiya Blanco;CUP;"7d6ffa";Malawi Mesa;Irak;generating Macedonia deposit
