id;name;abb;flag;flag_content_type;population;census_year;denonym
1;vortals Coche Extramuros;virtual Riyal;../fake-data/blob/hipster.png;image/png;39128;3978;Pequeño
2;Especialista Uganda;Sabroso payment;../fake-data/blob/hipster.png;image/png;67190;12321;Perseverando regional virtual
3;Atún;Directo;../fake-data/blob/hipster.png;image/png;76996;2736;RAM fritas
4;deposit generación Bulgarian;Credit Mejorado Estratega;../fake-data/blob/hipster.png;image/png;61241;26176;transmitter Librería
5;Fantástico scalable;IB sexy;../fake-data/blob/hipster.png;image/png;13239;52724;Azul state Morado
6;Pequeño Malasia;de León;../fake-data/blob/hipster.png;image/png;38660;833;Coordinador
7;neutral;bypassing;../fake-data/blob/hipster.png;image/png;33247;56412;payment Reducido
8;Juguetería Sabroso navigating;SAS Heredado Director;../fake-data/blob/hipster.png;image/png;11510;39931;Amarillo Director
9;Funcionario;compelling Acero;../fake-data/blob/hipster.png;image/png;8153;16438;en
10;Ladrillo;Práctico supply-chains;../fake-data/blob/hipster.png;image/png;97685;44700;Mancha PNG overriding
