id;points;moment;reason;team_id;competition_id
1;22881;2023-04-10T20:34:48;Asociado División móbil;1;1
2;49225;2023-04-11T11:00:51;Negro;2;2
3;17809;2023-04-10T20:11:42;Avon alarm TCP;3;3
4;38160;2023-04-11T03:46:48;Identidad;4;4
5;14664;2023-04-11T15:08:30;Interacciones;5;5
6;72677;2023-04-11T10:11:33;auxiliary Argentina;6;6
7;62866;2023-04-11T04:59:29;web-enabled Manzana;7;7
8;83194;2023-04-11T12:46:29;Hormigon Sorprendente Berkshire;8;8
9;30961;2023-04-10T20:57:54;capacitor quantifying;9;9
10;50728;2023-04-11T02:44:45;Reducido Arquitecto invoice;10;10
