id;graphics_name;detailed_name;distribution
1;Camiseta Verde;Gris;bus Granito Riera
2;EXE Central Negro;La Faro SMTP;embrace Interno
3;mindshare;nueva dynamic SMS;eyeballs implement
4;Gerente;architectures;synthesize
5;Guapo Libyan;Parafarmacia;analizada Metal
6;Azul;backing front-end;Central online Bolivia
7;parsing;TCP;Buckinghamshire generate Director
8;dynamic Coche;invoice Vanuatu;XML Armenia
9;Austria Ladrillo impactful;Representante payment haptic;Buckinghamshire extranet synthesize
10;Música Parafarmacia program;transparent cross-platform e-markets;multi-byte no-volátil
