id;moment;attendance;hashtag;details;misc_data;home_team_id;away_team_id
1;2023-08-28T11:43:36;2907;eyeballs;24 Toallas copy;Seguro Torrente Agente;1;1
2;2023-08-28T18:40:13;93809;Estratega;Violeta deposit Calidad;Director Estratega;2;2
3;2023-08-28T18:22:26;37239;Home;Consultor expedite Electrónica;Teclado Berkshire;3;3
4;2023-08-28T05:41:49;18917;Extremadura;Música overriding Ergonómico;Timor-Leste withdrawal Kiribati;4;4
5;2023-08-28T04:28:49;13559;Interno Rupiah;potenciada;1080p;5;5
6;2023-08-28T00:04:55;64358;Programable open-source;hack;microchip;6;6
7;2023-08-28T02:28:27;66007;Navarra Savings;compelling transmitter;Account;7;7
8;2023-08-28T01:39:13;64216;Hogar;Representante;Mercados de Pound;8;8
9;2023-08-28T10:25:08;19940;Blanco sexy;mobile equipos;Loan COM;9;9
10;2023-08-28T10:15:05;61966;gestión;aggregate synergistic;GB;10;10
