id;name;graphics_name;population;census_year;denonym
1;Ingeniería Programa;Samoa program Francia;16542;34396;multi-byte cross-platform
2;Plástico;feed Región Gerente;2812;82047;explícita Adelante
3;port virtual;Savings parse;17124;7461;Bedfordshire
4;Hogar;Gris;8784;87783;Principado Blanco Fuerte
5;SDD;Interno parsing Macao;61488;12092;Pizza
6;open-source e-services;Mali en RAM;36589;96594;Bricolaje solutions
7;Director mobile;infomediaries Alemania Guapo;64603;55826;Morado Leu
8;Account Deportes Rua;Guapo Adelante;79391;76955;TCP Murcia
9;Madera Plástico;synthesize CSS withdrawal;70778;84744;digital withdrawal
10;Castilla-La IB;Parcela;46962;33157;Italia Hogar Prolongación
