id;graphics_name;long_graphics_name;retirement_date;misc_data;person_id
1;Avon navigate Salud;Normas discreta Investment;withdrawal cross-platform;Inteligente;1
2;Huerta Supervisor;Madera;bypassing;PCI;2
3;Técnico Paseo cross-platform;bandwidth override Kuwait;deposit;Guantes Obligatorio;3
4;copying Ergonómico Account;Checking Corporativo;Colombia;payment;4
5;Lanka;copy arquitectura Eritrea;driver Jefe;connecting;5
6;Multi Corporativo Agente;withdrawal copying reboot;Verde la;copying;6
7;up Interacciones;efficient;Sopa Infraestructura;24/7 arquitectura Madera;7
8;Account Papelería;Rústico por Regional;Niger Bacon;back-end indexing alarm;8
9;Videojuegos;mano;Silla calculating;Paradigma;9
10;convergence;Creativo;orchestrate mobile Visionario;Azul Berkshire Comunidad;10
