id;name;graphics_name;start_date;end_date
1;online Dollar;compressing;2023-08-27;2023-08-28
2;programming País Ladrillo;Rústico;2023-08-28;2023-08-28
3;drive Adelante;leading-edge;2023-08-28;2023-08-28
4;quantify Acero;navigate Croacia Buckinghamshire;2023-08-28;2023-08-28
5;Relacciones robust Jefe;Borders Navarra;2023-08-27;2023-08-28
6;Pequeño hack paradigms;Analista;2023-08-27;2023-08-28
7;Morado Pollo optical;Violeta;2023-08-28;2023-08-27
8;cross-media Yen Paradigma;open-source;2023-08-27;2023-08-28
9;Jefe;indexing Pescado integrate;2023-08-28;2023-08-28
10;payment servidor;Sección;2023-08-28;2023-08-28
