id;colour_1;colour_2;type;model;model_content_type;photo;photo_content_type
1;;;680;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
2;"b3ed73";;2555;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
3;;;10776;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
4;;"bb44ad";89529;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
5;"dccdc9";"5d5df9";87464;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
6;;"5e6039";2093;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
7;"fee87d";"4b4b96";58752;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
8;"b8352f";;95750;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
9;;"224ef8";91199;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
10;"c229e6";;94002;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
