id;name;graphics_name;logo;logo_content_type;monoc_logo;monoc_logo_content_type;details;misc_data
1;program de;Borders EXE Gerente;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;didactica digital Papelería;Morado users
2;compressing;Bacon sexy sexy;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;SSL Metal;maximizada Bután
3;Aragón Arquitecto;seize;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Ergonómico Programa;Azul haptic
4;disintermediate;Metal Camiseta invoice;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;channels Cambridgeshire;Ingeniero deliver Francia
5;transform Arquitecto Metal;Rincón;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;online;Algodón Loan Hogar
6;Negro Pantalones Gabón;Estonia Azul Rambla;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Madera Buckinghamshire;sticky coherente
7;Librería Sabroso Joyería;payment Gerente Account;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Pescado Buckinghamshire Money;index connect
8;Buckinghamshire Identidad Granito;system Colonia Electrónica;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Teclado;Loan Ordenador Buckinghamshire
9;producto e-business Rambla;Interno;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;UAE estatica;Juguetería
10;calculate hack Ladrillo;SAS Hormigon;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;SCSI;Avon ADP
