id;name;graphics_name;location;capacity;field_length;field_width
1;dot-com Verde;cross-platform Fantástico Subida;Berkshire invoice;37314;91463;21797
2;Valenciana Normas;withdrawal;program Amarillo Rústico;17654;36425;98904
3;Inteligente Estonia;deposit Shilling Violeta;data-warehouse Director Diverso;99904;81510;13081
4;Sorprendente Madera USB;pixel Negro;homogénea;50396;15056;74379
5;Guapa asimétrica Especialista;facilitate;de Futuro;44473;16916;80673
6;hard application Normas;Glorieta fritas;synthesizing;58186;5853;88978
7;index withdrawal;killer Account;Reactivo Acero Genérico;74389;45453;60938
8;copying;Loan Irlanda;Madera;82410;74547;42981
9;Convertible 1080p bandwidth;software Algodón Virtual;Directo Pequeño Inteligente;87141;11956;11719
10;Inversor;Borders Zapatos Account;SSL Zapatos Verde;26866;16774;5004
