id;matches;moment;reason;person_id;competition_id
1;68484;2023-08-28T17:29:56;Prolongación Pound;1;1
2;38669;2023-08-27T21:08:04;Kong Rojo;2;2
3;89548;2023-08-28T04:13:15;Account RSS;3;3
4;70120;2023-08-28T07:33:05;Bloque Burundi;4;4
5;28804;2023-08-28T14:40:22;Analista Guapo;5;5
6;94205;2023-08-28T19:30:14;Tácticas digital global;6;6
7;67366;2023-08-28T09:32:06;recíproca Pasaje;7;7
8;27668;2023-08-28T14:50:38;neural;8;8
9;4820;2023-08-28T02:38:38;HTTP Lek;9;9
10;19140;2023-08-27T21:31:23;Configuración;10;10
