id;name;abb;graphics_name;short_name;nicknames;establishment_date;badge;badge_content_type;monoc_badge;monoc_badge_content_type;details;misc_data
1;Namibia;Analista;Islas Técnico;Plástico holística;Borders;Artesanal;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;content Account action-items;Islandia maximizada
2;Toallas Colombian Rústico;Kiribati Funcionario;Pequeño navigate Arquitecto;deposit Guapo back;collaborative;Moda;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Raton Ucrania;Central
3;Calidad Arrabal invoice;Contabilidad Travesía superestructura;generating Especialista;Salida;quantify Loan;interfaces Ergonómico;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Genérico HDD;Dollar
4;Artesanal Hormigon;recontextualize;uniforme Región Savings;Creativo Sector optical;Informática;Urbanización;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Dollar Investment;Galicia
5;Práctico Amarillo;Macedonia crítica firmware;Municipio transmitting;Dalasi Joyería Calidad;contenido sistémica;Obligatorio infraestructura Genérico;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;global;Senior
6;Morado Cantabria;deposit Productor;Deportes backing;Card Sopa pixel;enfoque;Siria;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Interacciones Malagasy;morph
7;microchip;Bicicleta orientada implementación;Coordinador;Azul Electrónica;1080p deposit HDD;sistema terciaria;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;HDD schemas Navarra;SDD
8;payment quantifying;Borders;Cine Salud Adaptativo;Buckinghamshire;la;primary THX Hormigon;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Verde;deposit RSS
9;Rojo Raton multi-byte;Bricolaje;array Directo;Librería Distrito;invoice mejora Terrenos;Fantástico withdrawal;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;global;Nepal
10;Finlandia Increible;Videojuegos Mascotas;cross-platform Guapo;mediante;digital back;empower Relacciones éxito;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Gráfica Extrarradio evolve;withdrawal
