id;preferred_shirt_number;is_youth;since_date;until_date;misc_data;player_id
1;58050;3447;2023-04-11;2023-04-10;Canarias Azul;1
2;38593;48037;2023-04-11;2023-04-11;area Ensalada;2
3;94626;45345;2023-04-10;2023-04-10;Acero Aplicaciones infraestructura;3
4;93958;24020;2023-04-10;2023-04-11;Ordenador;4
5;97070;23464;2023-04-10;2023-04-11;maximize Persistente JBOD;5
6;6077;56401;2023-04-11;2023-04-11;Juguetería;6
7;44213;72717;2023-04-11;2023-04-11;local Moda Public-key;7
8;70754;69851;2023-04-10;2023-04-11;copy homogénea Syrian;8
9;48764;65702;2023-04-11;2023-04-11;Fantástico Parque;9
10;647;91649;2023-04-11;2023-04-11;parsing;10
