id;role;since_date;until_date;misc_data;staff_member_id
1;MATCH_DELEGATE;2023-08-28;2023-08-28;SSL deposit móbil;1
2;PRESIDENT;2023-08-28;2023-08-28;Métricas Sopa Implementación;2
3;MEMBER;2023-08-28;2023-08-28;benchmark COM Camboya;3
4;BOARD_MEMBER;2023-08-28;2023-08-28;La;4
5;PRESIDENT;2023-08-28;2023-08-27;Algodón connecting;5
6;TEAM_DELEGATE;2023-08-28;2023-08-28;Ladrillo firewall;6
7;DT2;2023-08-28;2023-08-28;Estratega;7
8;MEMBER;2023-08-28;2023-08-28;digital;8
9;BOARD_MEMBER;2023-08-28;2023-08-28;Gris Metal;9
10;BOARD_MEMBER;2023-08-28;2023-08-28;Bricolaje;10
